ID,Requirement,Source,Rationale,Priority,Acceptance measure,Dependencies,Risk if omitted,Confidence,Release target,Architecture component,Test ID
FR-001,The platform shall validate experiment manifests against a versioned schema before any work is accepted.,Wilson U/V; blueprint objective 2,Prevents ambiguous execution.,Must,Invalid or unknown fields return a stable error and no experiment is created.,DATA-001,Unreproducible or unsafe runs.,High,MVP,Contract layer,TST-CONTRACT-001
FR-002,"The platform shall validate dataset manifests and every test case, including unique case IDs, split membership, policy linkage, and content hash.",Wilson E/W,Benchmark integrity.,Must,"Schema, duplicate, split, and hash tests pass for every promoted dataset.","FR-001,DATA-001",Invalid ground truth contaminates scores.,High,MVP,Dataset registry,TST-DATA-001
FR-003,"The platform shall compile an immutable expectation record from the approved case, policy, and rubric before target-model execution.",Wilson A.8/G.0,Separates policy expectation from response observation.,Must,The expectation hash is stored before the provider request and reproduces deterministically.,"FR-002,DATA-003",The grader can silently redefine policy.,High,MVP,Expectation compiler,TST-EXPECT-001
FR-004,"The platform shall expand each accepted experiment into deterministic logical runs keyed by experiment definition, case version, rendered prompt, model configuration, repetition, and lane.",Wilson H.3/H.4,Enables idempotency and reconciliation.,Must,Duplicate logical keys are rejected within an experiment; changed inputs change the key.,"FR-001,FR-002",Duplicate or missing logical work.,High,MVP,Experiment engine,TST-IDEMP-001
FR-005,The platform shall execute logical runs through a canonical provider adapter contract while preserving each provider attempt separately.,Wilson J.4/J.5/H.5,Separates model behavior from provider reliability.,Must,Mock and two production adapters pass identical contract fixtures before production.,"FR-004,OPS-004",Provider-specific behavior corrupts comparison.,High,MVP mock; production adapters before production,Provider adapters,TST-PROVIDER-001
FR-006,"The platform shall store rendered requests, terminal responses, provider attempts, expectations, classifications, snapshots, and reports as content-addressed artifacts.",Wilson F/J.3/J.9,Makes evidence immutable and auditable.,Must,Every stored artifact has a verified SHA-256 and project-scoped path.,"DATA-001,SEC-006",Evidence can be changed without detection.,High,MVP,Evidence store,TST-ARTIFACT-001
FR-007,"The platform shall classify behavior into appropriate refusal, false refusal, safe useful compliance, unsafe compliance, or ambiguous/partial without treating reliability errors as refusals.",Wilson D/B.1,Core product outcome.,Must,Golden fixtures cover all five labels and every reliability terminal state.,"FR-003,FR-005",Safety and helpfulness failures are conflated.,High,MVP deterministic; calibrated before production,Grading pipeline,TST-GRADE-001
FR-008,"The platform shall support grader abstention and route ambiguous, critical, or disputed cases to human review and adjudication.",Wilson G.4-G.9,Automation cannot be sole authority for critical cases.,Must,Configured escalation rules create review tasks; unresolved critical tasks block publication.,"FR-007,SEC-002",Critical errors pass without accountable review.,High,Before production,Review service,TST-REVIEW-001
FR-009,"The platform shall compute versioned metric snapshots with explicit numerator, denominator, exclusions, interval method, and exact run population.",Wilson C/B.3,Eliminates denominator drift.,Must,Golden and mutation tests detect changed denominators and reconcile all counts.,"FR-007,DATA-002",Published metrics are misleading.,High,MVP,Metric engine,TST-METRIC-001
FR-010,The platform shall calculate Wilson intervals and prompt-family cluster bootstrap comparisons using versioned statistical plans.,Wilson I,Accounts for uncertainty and correlated prompts.,Must,Results match independent reference implementations within approved tolerance.,FR-009,False precision drives release decisions.,High,Wilson in MVP; cluster bootstrap before production,Statistics module,TST-STATS-001
FR-011,The platform shall evaluate independent raw-metric release gates and critical-event rules before any composite score.,Wilson I.9/K.3/T,Prevents a composite from hiding unsafe compliance.,Must,"A confirmed unsafe-compliance event blocks; insufficient support yields indeterminate, never pass.","FR-009,FR-010",Unsafe model can pass an aggregate score.,High,MVP,Gate engine,TST-GATE-001
FR-012,"The platform shall generate a signed release dossier containing lineage, metrics, gate checks, unresolved items, costs, and approvals without embedding restricted raw content.",Wilson K.5/T,Portable audit evidence.,Must,Ed25519 signature verifies and report hashes reconcile to stored artifacts.,"FR-006,FR-011,SEC-007",Release decisions cannot be independently reviewed.,High,MVP signature; approval bundle before production,Report builder,TST-DOSSIER-001
